TransactionDate,DateKey,Year,Month,Day,DayOfWeek
2023-12-27 13:45:35.463203,20231227,2023,12,27,2
2024-08-13 17:38:35.463206,20240813,2024,8,13,1
2024-05-14 17:17:35.463210,20240514,2024,5,14,1
2024-06-26 05:38:35.463213,20240626,2024,6,26,2
2024-09-28 15:35:35.463217,20240928,2024,9,28,5
2024-04-04 09:58:35.463220,20240404,2024,4,4,3
2024-01-13 13:20:35.463224,20240113,2024,1,13,5
2024-06-05 01:51:35.463227,20240605,2024,6,5,2
2023-12-23 18:01:35.463231,20231223,2023,12,23,5
2024-02-13 02:09:35.463234,20240213,2024,2,13,1
2024-05-13 18:40:35.463237,20240513,2024,5,13,0
2024-01-02 23:54:35.463241,20240102,2024,1,2,1
2024-03-09 14:03:35.463244,20240309,2024,3,9,5
2024-03-23 10:26:35.463247,20240323,2024,3,23,5
2024-04-30 20:43:35.463251,20240430,2024,4,30,1
2024-08-29 16:54:35.463254,20240829,2024,8,29,3
2024-10-12 14:17:35.463257,20241012,2024,10,12,5
2024-08-24 01:23:35.463260,20240824,2024,8,24,5
2024-04-13 01:42:35.463264,20240413,2024,4,13,5
2024-01-15 05:40:35.463268,20240115,2024,1,15,0
2024-02-13 19:04:35.463274,20240213,2024,2,13,1
2024-01-10 23:52:35.463279,20240110,2024,1,10,2
2024-09-20 09:25:35.463285,20240920,2024,9,20,4
2024-09-15 14:23:35.463291,20240915,2024,9,15,6
2024-09-09 14:50:35.463297,20240909,2024,9,9,0
2024-10-19 22:34:35.463302,20241019,2024,10,19,5
2023-11-05 09:17:35.463308,20231105,2023,11,5,6
2024-05-09 07:11:35.463314,20240509,2024,5,9,3
2024-01-25 11:48:35.463320,20240125,2024,1,25,3
2024-06-08 00:57:35.463327,20240608,2024,6,8,5
2023-11-16 17:48:35.463332,20231116,2023,11,16,3
2024-03-29 00:43:35.463338,20240329,2024,3,29,4
2023-12-27 19:22:35.463344,20231227,2023,12,27,2
2024-01-07 10:11:35.463350,20240107,2024,1,7,6
2024-08-05 03:56:35.463356,20240805,2024,8,5,0
2024-09-16 05:06:35.463363,20240916,2024,9,16,0
2024-05-05 02:56:35.463368,20240505,2024,5,5,6
2024-09-05 21:48:35.463374,20240905,2024,9,5,3
2024-07-31 06:21:35.463381,20240731,2024,7,31,2
2024-10-18 14:51:35.463387,20241018,2024,10,18,4
2024-09-27 04:02:35.463392,20240927,2024,9,27,4
2024-07-20 10:12:35.463397,20240720,2024,7,20,5
2024-07-15 12:29:35.463402,20240715,2024,7,15,0
2024-08-24 02:05:35.463408,20240824,2024,8,24,5
2024-10-16 00:00:35.463414,20241016,2024,10,16,2
2024-06-02 11:12:35.463419,20240602,2024,6,2,6
2024-06-25 23:59:35.463422,20240625,2024,6,25,1
2024-04-30 01:11:35.463425,20240430,2024,4,30,1
2023-11-15 13:50:35.463429,20231115,2023,11,15,2
2024-09-27 14:43:35.463432,20240927,2024,9,27,4
2024-03-06 20:36:35.463436,20240306,2024,3,6,2
2024-07-22 23:48:35.463440,20240722,2024,7,22,0
2024-10-01 16:07:35.463443,20241001,2024,10,1,1
2023-11-02 02:28:35.463447,20231102,2023,11,2,3
2023-12-28 13:56:35.463451,20231228,2023,12,28,3
2024-08-10 14:35:35.463460,20240810,2024,8,10,5
2023-11-22 06:40:35.463463,20231122,2023,11,22,2
2024-04-30 04:15:35.463467,20240430,2024,4,30,1
2024-08-16 14:57:35.463470,20240816,2024,8,16,4
2024-02-01 12:46:35.463473,20240201,2024,2,1,3
2024-06-13 20:41:35.463477,20240613,2024,6,13,3
2024-03-05 00:53:35.463480,20240305,2024,3,5,1
2024-03-28 06:56:35.463483,20240328,2024,3,28,3
2024-09-22 19:20:35.463487,20240922,2024,9,22,6
2024-09-05 14:29:35.463490,20240905,2024,9,5,3
2024-06-05 02:51:35.463493,20240605,2024,6,5,2
2024-09-30 15:20:35.463496,20240930,2024,9,30,0
2024-01-21 13:36:35.463500,20240121,2024,1,21,6
2023-10-28 18:11:35.463503,20231028,2023,10,28,5
2023-12-15 20:26:35.463507,20231215,2023,12,15,4
2024-05-22 02:20:35.463510,20240522,2024,5,22,2
2024-04-19 14:46:35.463514,20240419,2024,4,19,4
2024-08-17 06:02:35.463517,20240817,2024,8,17,5
2024-05-15 13:00:35.463520,20240515,2024,5,15,2
2024-06-25 23:19:35.463524,20240625,2024,6,25,1
2024-03-01 22:24:35.463527,20240301,2024,3,1,4
2023-11-29 05:34:35.463530,20231129,2023,11,29,2
2024-10-16 13:16:35.463534,20241016,2024,10,16,2
2024-01-03 07:07:35.463537,20240103,2024,1,3,2
2024-10-10 04:30:35.463541,20241010,2024,10,10,3
2024-03-15 12:09:35.463544,20240315,2024,3,15,4
2023-11-12 00:24:35.463547,20231112,2023,11,12,6
2023-10-30 04:47:35.463551,20231030,2023,10,30,0
2024-01-03 02:46:35.463554,20240103,2024,1,3,2
2023-11-30 15:45:35.463557,20231130,2023,11,30,3
2024-01-24 05:45:35.463561,20240124,2024,1,24,2
2024-03-21 03:03:35.463564,20240321,2024,3,21,3
2024-03-15 03:48:35.463568,20240315,2024,3,15,4
2024-01-24 03:05:35.463571,20240124,2024,1,24,2
2024-09-09 12:14:35.463575,20240909,2024,9,9,0
2023-12-07 16:31:35.463578,20231207,2023,12,7,3
2024-08-16 10:21:35.463582,20240816,2024,8,16,4
2024-09-08 05:36:35.463585,20240908,2024,9,8,6
2023-11-14 21:39:35.463588,20231114,2023,11,14,1
2024-02-20 19:41:35.463592,20240220,2024,2,20,1
2023-12-04 17:22:35.463596,20231204,2023,12,4,0
2024-08-13 02:19:35.463599,20240813,2024,8,13,1
2024-03-19 14:07:35.463602,20240319,2024,3,19,1
2023-10-23 01:11:35.463606,20231023,2023,10,23,0
2024-04-08 02:01:35.463609,20240408,2024,4,8,0
2024-07-06 15:17:35.463613,20240706,2024,7,6,5
2024-05-23 12:10:35.463616,20240523,2024,5,23,3
2024-09-22 01:15:35.463620,20240922,2024,9,22,6
2024-06-12 09:27:35.463624,20240612,2024,6,12,2
2024-02-18 13:54:35.463629,20240218,2024,2,18,6
2023-11-16 16:05:35.463632,20231116,2023,11,16,3
2023-11-26 07:21:35.463636,20231126,2023,11,26,6
2023-11-30 06:14:35.463639,20231130,2023,11,30,3
2024-04-01 20:00:35.463643,20240401,2024,4,1,0
2024-04-19 17:35:35.463646,20240419,2024,4,19,4
2024-06-18 00:14:35.463649,20240618,2024,6,18,1
2024-07-25 02:21:35.463652,20240725,2024,7,25,3
2024-09-01 16:23:35.463656,20240901,2024,9,1,6
2024-03-15 23:57:35.463659,20240315,2024,3,15,4
2023-12-31 10:49:35.463662,20231231,2023,12,31,6
2024-05-13 20:59:35.463666,20240513,2024,5,13,0
2024-04-06 18:11:35.463669,20240406,2024,4,6,5
2023-12-30 20:56:35.463673,20231230,2023,12,30,5
2024-08-03 11:45:35.463676,20240803,2024,8,3,5
2024-05-05 21:02:35.463679,20240505,2024,5,5,6
2023-11-15 22:34:35.463696,20231115,2023,11,15,2
2024-01-01 08:29:35.463702,20240101,2024,1,1,0
2024-01-04 07:30:35.463711,20240104,2024,1,4,3
2024-05-27 06:22:35.463717,20240527,2024,5,27,0
2023-12-01 10:18:35.463721,20231201,2023,12,1,4
2024-07-14 22:02:35.463724,20240714,2024,7,14,6
2024-02-24 05:51:35.463727,20240224,2024,2,24,5
2024-07-20 08:52:35.463731,20240720,2024,7,20,5
2024-04-17 20:34:35.463734,20240417,2024,4,17,2
2023-10-31 07:21:35.463738,20231031,2023,10,31,1
2024-08-01 21:31:35.463741,20240801,2024,8,1,3
2024-07-21 08:33:35.463744,20240721,2024,7,21,6
2024-09-07 18:24:35.463748,20240907,2024,9,7,5
2024-04-27 01:48:35.463751,20240427,2024,4,27,5
2024-09-03 22:21:35.463754,20240903,2024,9,3,1
2024-09-30 05:04:35.463757,20240930,2024,9,30,0
2024-09-30 05:27:35.463761,20240930,2024,9,30,0
2024-08-12 21:19:35.463764,20240812,2024,8,12,0
2023-11-02 11:45:35.463767,20231102,2023,11,2,3
2024-10-20 20:59:35.463771,20241020,2024,10,20,6
2024-05-15 05:18:35.463774,20240515,2024,5,15,2
2024-05-20 16:17:35.463777,20240520,2024,5,20,0
2024-03-07 02:21:35.463781,20240307,2024,3,7,3
2024-06-27 22:53:35.463786,20240627,2024,6,27,3
2023-11-18 08:07:35.463792,20231118,2023,11,18,5
2024-01-02 16:20:35.463798,20240102,2024,1,2,1
2024-10-20 16:20:35.463803,20241020,2024,10,20,6
2024-04-02 12:58:35.463809,20240402,2024,4,2,1
2024-04-26 22:17:35.463815,20240426,2024,4,26,4
2024-04-18 20:52:35.463820,20240418,2024,4,18,3
2023-11-05 01:05:35.463826,20231105,2023,11,5,6
2023-11-07 09:05:35.463833,20231107,2023,11,7,1
2024-03-01 22:27:35.463839,20240301,2024,3,1,4
2023-11-06 08:20:35.463845,20231106,2023,11,6,0
2024-01-06 10:46:35.463852,20240106,2024,1,6,5
2024-04-24 08:54:35.463858,20240424,2024,4,24,2
2024-04-15 19:12:35.463864,20240415,2024,4,15,0
2024-08-26 10:10:35.463871,20240826,2024,8,26,0
2024-02-18 02:37:35.463876,20240218,2024,2,18,6
2024-03-20 05:29:35.463882,20240320,2024,3,20,2
2024-07-03 13:57:35.463887,20240703,2024,7,3,2
2023-11-24 16:25:35.463893,20231124,2023,11,24,4
2024-01-25 00:58:35.463898,20240125,2024,1,25,3
2024-05-04 01:51:35.463904,20240504,2024,5,4,5
2024-05-25 00:28:35.463910,20240525,2024,5,25,5
2024-02-18 01:07:35.463916,20240218,2024,2,18,6
2024-03-15 05:37:35.463923,20240315,2024,3,15,4
2024-06-18 00:42:35.463928,20240618,2024,6,18,1
2023-12-09 02:26:35.463931,20231209,2023,12,9,5
2024-07-13 21:22:35.463934,20240713,2024,7,13,5
2023-11-15 06:09:35.463937,20231115,2023,11,15,2
2024-03-30 09:12:35.463941,20240330,2024,3,30,5
2024-01-15 21:08:35.463944,20240115,2024,1,15,0
2024-05-08 00:34:35.463948,20240508,2024,5,8,2
2024-10-17 10:02:35.463951,20241017,2024,10,17,3
2024-07-31 14:59:35.463955,20240731,2024,7,31,2
2024-05-02 18:43:35.463958,20240502,2024,5,2,3
2024-10-06 08:52:35.463962,20241006,2024,10,6,6
2024-04-04 16:00:35.463965,20240404,2024,4,4,3
2024-07-10 14:26:35.463968,20240710,2024,7,10,2
2023-12-27 07:46:35.463971,20231227,2023,12,27,2
2024-10-15 05:11:35.463975,20241015,2024,10,15,1
2024-09-16 15:16:35.463978,20240916,2024,9,16,0
2024-08-09 22:53:35.463981,20240809,2024,8,9,4
2024-08-08 20:58:35.463984,20240808,2024,8,8,3
2023-11-19 14:56:35.463988,20231119,2023,11,19,6
2024-07-19 17:36:35.463991,20240719,2024,7,19,4
2023-11-20 20:44:35.463996,20231120,2023,11,20,0
2024-02-05 00:23:35.464002,20240205,2024,2,5,0
2024-01-25 20:28:35.464008,20240125,2024,1,25,3
2023-12-22 02:45:35.464014,20231222,2023,12,22,4
2024-10-06 11:08:35.464019,20241006,2024,10,6,6
2024-08-24 12:38:35.464025,20240824,2024,8,24,5
2024-01-03 19:13:35.464031,20240103,2024,1,3,2
2024-10-04 23:36:35.464037,20241004,2024,10,4,4
2024-07-28 00:49:35.464042,20240728,2024,7,28,6
2023-12-19 14:18:35.464048,20231219,2023,12,19,1
2023-11-10 13:06:35.464054,20231110,2023,11,10,4
2024-05-19 07:54:35.464060,20240519,2024,5,19,6
2024-07-28 22:43:35.464065,20240728,2024,7,28,6
2024-06-12 11:38:35.464068,20240612,2024,6,12,2
2024-06-28 20:22:35.464072,20240628,2024,6,28,4
2024-07-18 02:51:35.464075,20240718,2024,7,18,3
2024-06-14 13:44:35.464079,20240614,2024,6,14,4
2023-12-05 08:58:35.464083,20231205,2023,12,5,1
2024-02-20 21:38:35.464086,20240220,2024,2,20,1
2024-04-29 06:58:35.464090,20240429,2024,4,29,0
2023-11-04 17:30:35.464093,20231104,2023,11,4,5
2024-07-23 19:55:35.464096,20240723,2024,7,23,1
2024-06-26 09:12:35.464100,20240626,2024,6,26,2
2024-09-09 19:01:35.464103,20240909,2024,9,9,0
2023-12-18 07:48:35.464107,20231218,2023,12,18,0
2024-02-04 18:52:35.464110,20240204,2024,2,4,6
2023-12-08 04:59:35.464113,20231208,2023,12,8,4
2024-09-18 02:44:35.464117,20240918,2024,9,18,2
2024-06-02 21:54:35.464120,20240602,2024,6,2,6
2024-05-28 02:06:35.464123,20240528,2024,5,28,1
2024-06-15 06:30:35.464126,20240615,2024,6,15,5
2024-08-01 17:20:35.464130,20240801,2024,8,1,3
2024-01-08 17:12:35.464133,20240108,2024,1,8,0
2024-06-12 20:04:35.464136,20240612,2024,6,12,2
2024-02-05 08:51:35.464140,20240205,2024,2,5,0
2024-09-07 06:24:35.464143,20240907,2024,9,7,5
2024-04-11 04:08:35.464146,20240411,2024,4,11,3
2024-03-22 13:01:35.464150,20240322,2024,3,22,4
2024-08-04 16:07:35.464153,20240804,2024,8,4,6
2023-11-06 06:00:35.464156,20231106,2023,11,6,0
2024-01-04 14:34:35.464159,20240104,2024,1,4,3
2024-08-19 20:29:35.464163,20240819,2024,8,19,0
2024-03-17 20:01:35.464166,20240317,2024,3,17,6
2024-09-01 03:12:35.464169,20240901,2024,9,1,6
2023-11-27 18:01:35.464172,20231127,2023,11,27,0
2024-04-14 08:39:35.464176,20240414,2024,4,14,6
2024-05-08 17:51:35.464179,20240508,2024,5,8,2
2023-11-24 21:08:35.464182,20231124,2023,11,24,4
2024-06-27 17:27:35.464186,20240627,2024,6,27,3
2024-09-07 13:06:35.464189,20240907,2024,9,7,5
2024-08-14 10:56:35.464192,20240814,2024,8,14,2
2024-09-21 15:47:35.464195,20240921,2024,9,21,5
2024-05-05 07:38:35.464199,20240505,2024,5,5,6
2024-03-10 16:46:35.464202,20240310,2024,3,10,6
2024-09-06 03:56:35.464205,20240906,2024,9,6,4
2024-04-10 16:48:35.464209,20240410,2024,4,10,2
2024-01-04 01:58:35.464212,20240104,2024,1,4,3
2024-09-01 16:27:35.464218,20240901,2024,9,1,6
2024-03-08 01:51:35.464224,20240308,2024,3,8,4
2024-05-11 03:42:35.464230,20240511,2024,5,11,5
2024-02-16 11:38:35.464235,20240216,2024,2,16,4
2023-11-01 22:08:35.464242,20231101,2023,11,1,2
2024-08-11 05:12:35.464248,20240811,2024,8,11,6
2024-08-07 05:54:35.464252,20240807,2024,8,7,2
2024-10-14 18:33:35.464255,20241014,2024,10,14,0
2024-07-03 21:47:35.464259,20240703,2024,7,3,2
2023-12-28 19:14:35.464262,20231228,2023,12,28,3
2024-09-02 07:02:35.464266,20240902,2024,9,2,0
2024-07-09 16:13:35.464269,20240709,2024,7,9,1
2024-04-07 05:32:35.464273,20240407,2024,4,7,6
2024-09-20 23:44:35.464276,20240920,2024,9,20,4
2024-05-03 05:25:35.464279,20240503,2024,5,3,4
2024-04-07 17:42:35.464282,20240407,2024,4,7,6
2024-08-10 02:01:35.464286,20240810,2024,8,10,5
2024-06-16 18:30:35.464289,20240616,2024,6,16,6
2024-05-07 06:47:35.464292,20240507,2024,5,7,1
2024-05-03 08:25:35.464295,20240503,2024,5,3,4
2023-10-23 08:16:35.464299,20231023,2023,10,23,0
2024-06-20 03:17:35.464303,20240620,2024,6,20,3
2024-08-04 20:09:35.464306,20240804,2024,8,4,6
2023-11-21 22:42:35.464310,20231121,2023,11,21,1
2024-06-18 01:19:35.464313,20240618,2024,6,18,1
2024-05-21 23:47:35.464316,20240521,2024,5,21,1
2024-07-17 08:35:35.464320,20240717,2024,7,17,2
2024-10-16 12:22:35.464323,20241016,2024,10,16,2
2024-04-12 06:22:35.464326,20240412,2024,4,12,4
2024-08-14 16:25:35.464329,20240814,2024,8,14,2
2024-01-08 15:43:35.464333,20240108,2024,1,8,0
2023-12-28 10:10:35.464336,20231228,2023,12,28,3
2024-09-22 04:16:35.464340,20240922,2024,9,22,6
2023-10-26 14:16:35.464343,20231026,2023,10,26,3
2024-03-08 07:36:35.464346,20240308,2024,3,8,4
2024-07-08 00:08:35.464350,20240708,2024,7,8,0
2024-04-03 15:42:35.464355,20240403,2024,4,3,2
2024-06-21 12:12:35.464360,20240621,2024,6,21,4
2024-02-25 23:04:35.464366,20240225,2024,2,25,6
2024-01-23 08:49:35.464372,20240123,2024,1,23,1
2024-10-17 07:30:35.464377,20241017,2024,10,17,3
2024-08-18 20:24:35.464384,20240818,2024,8,18,6
2024-05-18 05:10:35.464389,20240518,2024,5,18,5
2024-07-16 07:27:35.464395,20240716,2024,7,16,1
2024-09-09 06:16:35.464400,20240909,2024,9,9,0
2024-08-11 14:24:35.464407,20240811,2024,8,11,6
2024-09-14 03:28:35.464413,20240914,2024,9,14,5
2024-07-30 10:17:35.464420,20240730,2024,7,30,1
2024-09-18 00:05:35.464426,20240918,2024,9,18,2
2024-10-02 21:29:35.464432,20241002,2024,10,2,2
2023-10-22 00:07:35.464438,20231022,2023,10,22,6
2024-08-13 17:58:35.464445,20240813,2024,8,13,1
2024-04-20 02:00:35.464450,20240420,2024,4,20,5
2024-07-13 11:50:35.464456,20240713,2024,7,13,5
2023-11-10 23:20:35.464463,20231110,2023,11,10,4
2024-06-23 22:59:35.464468,20240623,2024,6,23,6
2024-07-30 07:49:35.464474,20240730,2024,7,30,1
2023-12-24 04:27:35.464480,20231224,2023,12,24,6
2024-04-12 14:24:35.464486,20240412,2024,4,12,4
2023-11-09 14:58:35.464490,20231109,2023,11,9,3
2024-08-10 20:49:35.464496,20240810,2024,8,10,5
2024-08-29 06:44:35.464499,20240829,2024,8,29,3
2024-09-18 05:01:35.464503,20240918,2024,9,18,2
2024-03-10 00:03:35.464506,20240310,2024,3,10,6
2024-04-19 15:50:35.464509,20240419,2024,4,19,4
2023-12-26 23:58:35.464513,20231226,2023,12,26,1
2024-10-10 20:09:35.464516,20241010,2024,10,10,3
2024-05-06 21:45:35.464519,20240506,2024,5,6,0
2023-10-29 04:09:35.464522,20231029,2023,10,29,6
2024-01-10 15:44:35.464526,20240110,2024,1,10,2
2024-07-25 02:37:35.464529,20240725,2024,7,25,3
2023-12-01 01:16:35.464533,20231201,2023,12,1,4
2024-05-15 02:13:35.464536,20240515,2024,5,15,2
2024-07-15 05:51:35.464539,20240715,2024,7,15,0
2024-05-21 10:01:35.464542,20240521,2024,5,21,1
2024-05-26 01:14:35.464546,20240526,2024,5,26,6
2024-07-15 12:02:35.464549,20240715,2024,7,15,0
2024-09-15 15:48:35.464552,20240915,2024,9,15,6
2024-02-01 06:16:35.464555,20240201,2024,2,1,3
2024-08-17 22:54:35.464559,20240817,2024,8,17,5
2024-09-03 04:12:35.464562,20240903,2024,9,3,1
2023-12-24 06:53:35.464565,20231224,2023,12,24,6
2023-10-24 22:36:35.464569,20231024,2023,10,24,1
2024-07-20 01:57:35.464572,20240720,2024,7,20,5
2023-10-26 06:51:35.464576,20231026,2023,10,26,3
2024-08-31 11:24:35.464579,20240831,2024,8,31,5
2024-09-21 00:33:35.464582,20240921,2024,9,21,5
2024-09-04 01:23:35.464585,20240904,2024,9,4,2
2024-07-18 01:23:35.464589,20240718,2024,7,18,3
2024-05-07 23:14:35.464592,20240507,2024,5,7,1
2024-09-09 15:15:35.464595,20240909,2024,9,9,0
2024-02-29 05:06:35.464598,20240229,2024,2,29,3
2023-11-08 02:12:35.464603,20231108,2023,11,8,2
2023-11-16 04:40:35.464606,20231116,2023,11,16,3
2024-05-20 02:55:35.464609,20240520,2024,5,20,0
2024-03-17 04:38:35.464613,20240317,2024,3,17,6
2023-11-16 01:49:35.464616,20231116,2023,11,16,3
2024-05-23 19:53:35.464619,20240523,2024,5,23,3
2024-08-27 19:49:35.464623,20240827,2024,8,27,1
2023-12-30 13:07:35.464628,20231230,2023,12,30,5
2024-08-26 23:55:35.464631,20240826,2024,8,26,0
2024-07-08 15:40:35.464635,20240708,2024,7,8,0
2024-09-04 07:31:35.464638,20240904,2024,9,4,2
2024-03-01 20:16:35.464641,20240301,2024,3,1,4
2024-06-10 01:03:35.464645,20240610,2024,6,10,0
2023-12-12 23:20:35.464648,20231212,2023,12,12,1
2023-11-01 14:30:35.464652,20231101,2023,11,1,2
2024-02-18 21:31:35.464656,20240218,2024,2,18,6
2023-10-21 20:49:35.464659,20231021,2023,10,21,5
2024-01-30 20:08:35.464662,20240130,2024,1,30,1
2024-04-13 18:16:35.464666,20240413,2024,4,13,5
2024-08-25 01:51:35.464669,20240825,2024,8,25,6
2024-05-11 00:12:35.464672,20240511,2024,5,11,5
2023-11-08 21:18:35.464676,20231108,2023,11,8,2
2024-04-06 04:09:35.464679,20240406,2024,4,6,5
2023-12-14 16:02:35.464682,20231214,2023,12,14,3
2024-04-28 21:46:35.464686,20240428,2024,4,28,6
2023-11-15 08:18:35.464689,20231115,2023,11,15,2
2024-05-19 01:31:35.464692,20240519,2024,5,19,6
2024-09-10 09:18:35.464696,20240910,2024,9,10,1
2023-12-12 15:25:35.464699,20231212,2023,12,12,1
2023-12-22 17:47:35.464702,20231222,2023,12,22,4
2024-03-07 15:26:35.464706,20240307,2024,3,7,3
2024-09-06 21:07:35.464709,20240906,2024,9,6,4
2024-07-04 04:34:35.464712,20240704,2024,7,4,3
2024-09-30 13:30:35.464718,20240930,2024,9,30,0
2023-10-31 04:20:35.464724,20231031,2023,10,31,1
2024-10-15 12:19:35.464729,20241015,2024,10,15,1
2024-07-27 16:03:35.464735,20240727,2024,7,27,5
2024-09-07 07:32:35.464740,20240907,2024,9,7,5
2024-09-10 23:08:35.464745,20240910,2024,9,10,1
2024-09-22 21:39:35.464750,20240922,2024,9,22,6
2024-05-11 12:55:35.464755,20240511,2024,5,11,5
2023-12-03 04:27:35.464762,20231203,2023,12,3,6
2023-11-10 14:54:35.464767,20231110,2023,11,10,4
2024-05-22 22:18:35.464773,20240522,2024,5,22,2
2024-06-13 04:30:35.464779,20240613,2024,6,13,3
2023-11-03 17:11:35.464785,20231103,2023,11,3,4
2024-05-27 12:44:35.464791,20240527,2024,5,27,0
2024-04-14 04:01:35.464798,20240414,2024,4,14,6
2024-07-24 04:31:35.464803,20240724,2024,7,24,2
2023-11-12 05:11:35.464809,20231112,2023,11,12,6
2024-08-31 13:22:35.464815,20240831,2024,8,31,5
2023-10-27 15:07:35.464820,20231027,2023,10,27,4
2023-11-05 18:55:35.464826,20231105,2023,11,5,6
2024-08-09 11:34:35.464832,20240809,2024,8,9,4
2024-01-27 10:47:35.464838,20240127,2024,1,27,5
2023-12-25 04:37:35.464843,20231225,2023,12,25,0
2024-09-15 13:46:35.464849,20240915,2024,9,15,6
2024-02-18 03:44:35.464855,20240218,2024,2,18,6
2024-06-14 22:12:35.464861,20240614,2024,6,14,4
2024-02-07 10:33:35.464866,20240207,2024,2,7,2
2024-02-18 06:58:35.464871,20240218,2024,2,18,6
2024-03-06 21:30:35.464877,20240306,2024,3,6,2
2024-01-16 23:18:35.464882,20240116,2024,1,16,1
2023-11-03 21:53:35.464891,20231103,2023,11,3,4
2023-12-06 06:20:35.464897,20231206,2023,12,6,2
2024-03-23 08:42:35.464903,20240323,2024,3,23,5
2024-10-16 06:36:35.464909,20241016,2024,10,16,2
2024-09-01 20:36:35.464914,20240901,2024,9,1,6
2024-01-26 05:11:35.464921,20240126,2024,1,26,4
2024-06-21 00:26:35.464927,20240621,2024,6,21,4
2024-08-07 10:57:35.464932,20240807,2024,8,7,2
2024-05-27 14:11:35.464937,20240527,2024,5,27,0
2024-06-26 01:42:35.464943,20240626,2024,6,26,2
2023-10-23 00:27:35.464951,20231023,2023,10,23,0
2023-11-02 22:32:35.464958,20231102,2023,11,2,3
2024-05-22 06:32:35.464965,20240522,2024,5,22,2
2024-09-07 16:47:35.464973,20240907,2024,9,7,5
2024-09-21 10:39:35.464979,20240921,2024,9,21,5
2024-05-18 08:10:35.464985,20240518,2024,5,18,5
2024-09-26 15:28:35.464991,20240926,2024,9,26,3
2024-01-27 18:05:35.464997,20240127,2024,1,27,5
2024-01-23 03:15:35.465003,20240123,2024,1,23,1
2024-07-08 01:46:35.465009,20240708,2024,7,8,0
2024-09-12 11:28:35.465015,20240912,2024,9,12,3
2024-10-06 13:05:35.465020,20241006,2024,10,6,6
2024-05-24 15:22:35.465026,20240524,2024,5,24,4
